02-25 16:51:21 kicad-jlcpcb-tools.store 208:Part U8 does not exist in the database and will be created from the board.
02-25 16:51:21 kicad-jlcpcb-tools.store 225:Part D1 is already in the database and has a lcsc value, the value supplied from the board will be ignored.
02-25 16:51:21 kicad-jlcpcb-tools.store 225:Part R17 is already in the database and has a lcsc value, the value supplied from the board will be ignored.
02-25 16:51:21 kicad-jlcpcb-tools.store 225:Part SW2 is already in the database and has a lcsc value, the value supplied from the board will be ignored.
02-25 16:51:21 kicad-jlcpcb-tools.store 225:Part C19 is already in the database and has a lcsc value, the value supplied from the board will be ignored.
02-25 16:51:21 kicad-jlcpcb-tools.store 225:Part C13 is already in the database and has a lcsc value, the value supplied from the board will be ignored.
02-25 16:51:21 kicad-jlcpcb-tools.store 225:Part U6 is already in the database and has a lcsc value, the value supplied from the board will be ignored.
02-25 16:51:21 kicad-jlcpcb-tools.store 225:Part C2 is already in the database and has a lcsc value, the value supplied from the board will be ignored.
02-25 16:51:21 kicad-jlcpcb-tools.store 225:Part Q3 is already in the database and has a lcsc value, the value supplied from the board will be ignored.
02-25 16:51:21 kicad-jlcpcb-tools.store 225:Part MK1 is already in the database and has a lcsc value, the value supplied from the board will be ignored.
02-25 16:51:21 kicad-jlcpcb-tools.store 225:Part R19 is already in the database and has a lcsc value, the value supplied from the board will be ignored.
02-25 16:51:21 kicad-jlcpcb-tools.store 225:Part USB1 is already in the database and has a lcsc value, the value supplied from the board will be ignored.
02-25 16:51:21 kicad-jlcpcb-tools.store 225:Part D3 is already in the database and has a lcsc value, the value supplied from the board will be ignored.
02-25 16:51:21 kicad-jlcpcb-tools.store 225:Part C17 is already in the database and has a lcsc value, the value supplied from the board will be ignored.
02-25 16:51:21 kicad-jlcpcb-tools.store 225:Part C20 is already in the database and has a lcsc value, the value supplied from the board will be ignored.
02-25 16:51:21 kicad-jlcpcb-tools.store 225:Part J1 is already in the database and has a lcsc value, the value supplied from the board will be ignored.
02-25 16:51:21 kicad-jlcpcb-tools.store 225:Part R18 is already in the database and has a lcsc value, the value supplied from the board will be ignored.
02-25 16:51:21 kicad-jlcpcb-tools.store 225:Part R16 is already in the database and has a lcsc value, the value supplied from the board will be ignored.
02-25 16:51:21 kicad-jlcpcb-tools.store 225:Part R20 is already in the database and has a lcsc value, the value supplied from the board will be ignored.
02-25 16:51:21 kicad-jlcpcb-tools.store 225:Part D2 is already in the database and has a lcsc value, the value supplied from the board will be ignored.
02-25 16:51:21 kicad-jlcpcb-tools.store 225:Part R4 is already in the database and has a lcsc value, the value supplied from the board will be ignored.
02-25 16:51:21 kicad-jlcpcb-tools.store 225:Part R5 is already in the database and has a lcsc value, the value supplied from the board will be ignored.
02-25 16:51:21 kicad-jlcpcb-tools.store 225:Part R3 is already in the database and has a lcsc value, the value supplied from the board will be ignored.
02-25 16:51:21 kicad-jlcpcb-tools.store 225:Part C16 is already in the database and has a lcsc value, the value supplied from the board will be ignored.
02-25 16:51:21 kicad-jlcpcb-tools.store 225:Part D5 is already in the database and has a lcsc value, the value supplied from the board will be ignored.
02-25 16:51:21 kicad-jlcpcb-tools.store 225:Part R13 is already in the database and has a lcsc value, the value supplied from the board will be ignored.
02-25 16:51:21 kicad-jlcpcb-tools.store 225:Part Q1 is already in the database and has a lcsc value, the value supplied from the board will be ignored.
02-25 16:51:21 kicad-jlcpcb-tools.store 225:Part U1 is already in the database and has a lcsc value, the value supplied from the board will be ignored.
02-25 16:51:21 kicad-jlcpcb-tools.store 225:Part U3 is already in the database and has a lcsc value, the value supplied from the board will be ignored.
02-25 16:51:21 kicad-jlcpcb-tools.store 225:Part C5 is already in the database and has a lcsc value, the value supplied from the board will be ignored.
02-25 16:51:21 kicad-jlcpcb-tools.store 208:Part U7 does not exist in the database and will be created from the board.
02-25 16:51:21 kicad-jlcpcb-tools.store 225:Part Q2 is already in the database and has a lcsc value, the value supplied from the board will be ignored.
02-25 16:51:21 kicad-jlcpcb-tools.store 225:Part C18 is already in the database and has a lcsc value, the value supplied from the board will be ignored.
02-25 16:51:21 kicad-jlcpcb-tools.store 225:Part U2 is already in the database and has a lcsc value, the value supplied from the board will be ignored.
02-25 16:51:21 kicad-jlcpcb-tools.store 225:Part R1 is already in the database and has a lcsc value, the value supplied from the board will be ignored.
02-25 16:51:21 kicad-jlcpcb-tools.store 225:Part R2 is already in the database and has a lcsc value, the value supplied from the board will be ignored.
02-25 16:51:23 kicad-jlcpcb-tools.mainwindow 494:1.0
02-25 16:51:57 kicad-jlcpcb-tools.library 289:Download JLCPCB SMT Parts Library(20220225).csv with a size of 273.66MB
